experiment,geometry,target,feature,shape,range,bin_means
HP,base,Unlearning,local_density_mean,Inverted-U,0.14,"[0.987, 0.855, 0.995, 0.992]"
HP,base,Unlearning,local_density_std,Complex,0.10266666666666668,"[0.952, 0.891, 0.992, 0.993]"
HP,base,Unlearning,local_density_max,Inverted-U,0.09733333333333338,"[0.947, 0.896, 0.993, 0.992]"
HP,base,Unlearning,local_density_min,U-shaped,0.07333333333333325,"[0.988, 0.92, 0.927, 0.993]"
HP,base,Unlearning,separability_mean,U-shaped,0.08266666666666667,"[1.0, 0.951, 0.917, 0.96]"
HP,base,Unlearning,separability_std,Inverted-U,0.1346666666666667,"[0.965, 1.0, 0.997, 0.865]"
HP,base,Unlearning,separability_max,U-shaped,0.14933333333333332,"[0.996, 0.997, 0.848, 0.987]"
HP,base,Unlearning,separability_min,Complex,0.1266666666666667,"[1.0, 0.873, 0.989, 0.965]"
HP,base,Unlearning,centrality_mean,U-shaped,0.07333333333333325,"[1.0, 0.956, 0.927, 0.945]"
HP,base,Unlearning,centrality_std,U-shaped,0.06266666666666665,"[0.96, 0.985, 0.923, 0.96]"
HP,base,Unlearning,centrality_min,U-shaped,0.08266666666666678,"[0.999, 0.916, 0.952, 0.961]"
HP,base,Unlearning,cross_layer_consistency_std,U-shaped,0.15919191919191922,"[0.99, 0.996, 0.836, 0.986]"
HP,base,Steering,local_density_mean,Inverted-U,0.13733333333333336,"[0.008, 0.145, 0.013, 0.012]"
HP,base,Steering,local_density_std,Complex,0.09200000000000001,"[0.047, 0.104, 0.016, 0.012]"
HP,base,Steering,local_density_max,U-shaped,0.09200000000000001,"[0.048, 0.104, 0.012, 0.015]"
HP,base,Steering,local_density_min,Inverted-U,0.07733333333333332,"[0.005, 0.077, 0.083, 0.013]"
HP,base,Steering,separability_mean,Inverted-U,0.07733333333333334,"[0.0, 0.044, 0.077, 0.057]"
HP,base,Steering,separability_std,U-shaped,0.132,"[0.041, 0.001, 0.003, 0.133]"
HP,base,Steering,separability_max,Inverted-U,0.1426666666666667,"[0.004, 0.003, 0.145, 0.027]"
HP,base,Steering,separability_min,Complex,0.11466666666666665,"[0.0, 0.115, 0.017, 0.047]"
HP,base,Steering,centrality_mean,Inverted-U,0.07066666666666668,"[0.001, 0.043, 0.072, 0.063]"
HP,base,Steering,centrality_std,Inverted-U,0.06000000000000001,"[0.051, 0.015, 0.075, 0.039]"
HP,base,Steering,centrality_max,Complex,0.07866666666666668,"[0.007, 0.049, 0.037, 0.085]"
HP,base,Steering,centrality_min,Complex,0.076,"[0.004, 0.08, 0.047, 0.048]"
HP,base,Steering,cross_layer_consistency_std,Inverted-U,0.15242424242424243,"[0.014, 0.007, 0.159, 0.018]"
HP,base,Prompt,local_density_mean,U-shaped,0.16,"[0.072, 0.2, 0.04, 0.048]"
HP,base,Prompt,local_density_std,Complex,0.128,"[0.088, 0.16, 0.08, 0.032]"
HP,base,Prompt,local_density_max,U-shaped,0.10400000000000001,"[0.12, 0.144, 0.04, 0.056]"
HP,base,Prompt,separability_std,U-shaped,0.168,"[0.104, 0.024, 0.04, 0.192]"
HP,base,Prompt,separability_max,Inverted-U,0.19999999999999998,"[0.024, 0.024, 0.224, 0.088]"
HP,base,Prompt,separability_min,Complex,0.16799999999999998,"[0.008, 0.176, 0.064, 0.112]"
HP,base,Prompt,centrality_mean,Inverted-U,0.136,"[0.008, 0.096, 0.144, 0.112]"
HP,base,Prompt,centrality_std,Complex,0.09600000000000002,"[0.144, 0.08, 0.088, 0.048]"
HP,base,Prompt,centrality_max,Complex,0.112,"[0.024, 0.136, 0.08, 0.12]"
HP,base,Prompt,centrality_min,Complex,0.12000000000000001,"[0.016, 0.136, 0.088, 0.12]"
HP,base,Prompt,cross_layer_consistency_mean,Inverted-U,0.064,"[0.064, 0.096, 0.128, 0.072]"
HP,base,Prompt,cross_layer_consistency_std,Inverted-U,0.13757575757575757,"[0.054, 0.053, 0.191, 0.082]"
HP,base,Prompt,cross_layer_consistency_max,Inverted-U,0.064,"[0.064, 0.096, 0.128, 0.072]"
HP,base,Prompt,cross_layer_consistency_min,Inverted-U,0.064,"[0.064, 0.096, 0.128, 0.072]"
HP,unlearned,Unlearning,local_density_mean,U-shaped,0.10933333333333328,"[0.987, 0.953, 0.889, 0.999]"
HP,unlearned,Unlearning,local_density_max,U-shaped,0.07066666666666654,"[0.987, 0.921, 0.928, 0.992]"
HP,unlearned,Unlearning,local_density_min,U-shaped,0.10933333333333328,"[0.987, 0.953, 0.889, 0.999]"
HP,unlearned,Unlearning,separability_mean,U-shaped,0.08533333333333337,"[0.996, 0.988, 0.911, 0.933]"
HP,unlearned,Unlearning,separability_std,Complex,0.12,"[0.997, 0.967, 0.987, 0.877]"
HP,unlearned,Unlearning,separability_max,U-shaped,0.09199999999999997,"[0.996, 0.993, 0.904, 0.935]"
HP,unlearned,Unlearning,separability_min,Complex,0.124,"[0.996, 0.872, 0.988, 0.972]"
HP,unlearned,Unlearning,centrality_mean,U-shaped,0.11733333333333329,"[0.993, 0.955, 0.881, 0.999]"
HP,unlearned,Unlearning,centrality_std,U-shaped,0.07066666666666666,"[0.964, 0.917, 0.959, 0.988]"
HP,unlearned,Unlearning,centrality_max,U-shaped,0.06666666666666665,"[0.964, 0.92, 0.957, 0.987]"
HP,unlearned,Unlearning,centrality_min,Complex,0.058666666666666756,"[0.989, 0.953, 0.955, 0.931]"
HP,unlearned,Unlearning,cross_layer_consistency_mean,U-shaped,0.07733333333333337,"[0.995, 0.917, 0.953, 0.964]"
HP,unlearned,Unlearning,cross_layer_consistency_max,U-shaped,0.07733333333333337,"[0.995, 0.917, 0.953, 0.964]"
HP,unlearned,Unlearning,cross_layer_consistency_min,U-shaped,0.07733333333333337,"[0.995, 0.917, 0.953, 0.964]"
HP,unlearned,Steering,local_density_mean,Inverted-U,0.11466666666666667,"[0.011, 0.051, 0.116, 0.001]"
HP,unlearned,Steering,local_density_max,Inverted-U,0.06933333333333334,"[0.011, 0.075, 0.08, 0.013]"
HP,unlearned,Steering,local_density_min,Inverted-U,0.11466666666666667,"[0.009, 0.049, 0.117, 0.003]"
HP,unlearned,Steering,separability_mean,Inverted-U,0.088,"[0.003, 0.017, 0.091, 0.068]"
HP,unlearned,Steering,separability_std,Complex,0.12266666666666666,"[0.003, 0.037, 0.013, 0.125]"
HP,unlearned,Steering,separability_max,Inverted-U,0.09999999999999999,"[0.003, 0.005, 0.103, 0.068]"
HP,unlearned,Steering,separability_min,Complex,0.12399999999999999,"[0.003, 0.127, 0.019, 0.031]"
HP,unlearned,Steering,centrality_mean,Inverted-U,0.11866666666666667,"[0.013, 0.041, 0.121, 0.003]"
HP,unlearned,Steering,centrality_std,Complex,0.06399999999999999,"[0.045, 0.079, 0.04, 0.015]"
HP,unlearned,Steering,centrality_max,Inverted-U,0.06133333333333333,"[0.036, 0.077, 0.049, 0.016]"
HP,unlearned,Steering,cross_layer_consistency_mean,Complex,0.06666666666666665,"[0.013, 0.08, 0.04, 0.046]"
HP,unlearned,Steering,cross_layer_consistency_max,Complex,0.06666666666666665,"[0.013, 0.08, 0.04, 0.046]"
HP,unlearned,Steering,cross_layer_consistency_min,Complex,0.06666666666666665,"[0.013, 0.08, 0.04, 0.046]"
HP,unlearned,Prompt,local_density_mean,Inverted-U,0.14400000000000002,"[0.088, 0.08, 0.168, 0.024]"
HP,unlearned,Prompt,local_density_max,Inverted-U,0.10399999999999998,"[0.072, 0.088, 0.152, 0.048]"
HP,unlearned,Prompt,local_density_min,Inverted-U,0.128,"[0.08, 0.088, 0.16, 0.032]"
HP,unlearned,Prompt,separability_mean,Inverted-U,0.12000000000000001,"[0.016, 0.096, 0.136, 0.112]"
HP,unlearned,Prompt,separability_max,Inverted-U,0.14400000000000002,"[0.016, 0.064, 0.16, 0.12]"
HP,unlearned,Prompt,separability_min,Inverted-U,0.184,"[0.016, 0.2, 0.088, 0.056]"
HP,unlearned,Prompt,centrality_mean,Inverted-U,0.192,"[0.048, 0.088, 0.208, 0.016]"
HP,unlearned,Prompt,centrality_std,Complex,0.088,"[0.088, 0.136, 0.088, 0.048]"
HP,unlearned,Prompt,cross_layer_consistency_mean,Inverted-U,0.096,"[0.048, 0.144, 0.096, 0.07]"
HP,unlearned,Prompt,cross_layer_consistency_max,Inverted-U,0.096,"[0.048, 0.144, 0.096, 0.07]"
HP,unlearned,Prompt,cross_layer_consistency_min,Inverted-U,0.096,"[0.048, 0.144, 0.096, 0.07]"
TOFU_grad_diff,base,Unlearning,local_density_mean,U-shaped,0.1373333333333332,"[0.932, 0.875, 0.799, 0.936]"
TOFU_grad_diff,base,Unlearning,local_density_std,Inverted-U,0.16266666666666674,"[0.872, 0.88, 0.976, 0.813]"
TOFU_grad_diff,base,Unlearning,local_density_max,U-shaped,0.09466666666666668,"[0.924, 0.875, 0.829, 0.913]"
TOFU_grad_diff,base,Unlearning,local_density_min,U-shaped,0.16533333333333344,"[0.936, 0.771, 0.9, 0.935]"
TOFU_grad_diff,base,Unlearning,centrality_mean,Inverted-U,0.20266666666666666,"[0.877, 0.767, 0.969, 0.928]"
TOFU_grad_diff,base,Unlearning,centrality_max,U-shaped,0.14533333333333331,"[0.956, 0.851, 0.811, 0.924]"
TOFU_grad_diff,base,Steering,local_density_mean,Inverted-U,0.17333333333333337,"[0.071, 0.107, 0.217, 0.044]"
TOFU_grad_diff,base,Steering,local_density_std,U-shaped,0.12533333333333335,"[0.131, 0.097, 0.043, 0.168]"
TOFU_grad_diff,base,Steering,local_density_max,Inverted-U,0.09066666666666665,"[0.085, 0.111, 0.167, 0.076]"
TOFU_grad_diff,base,Steering,local_density_min,Inverted-U,0.1546666666666667,"[0.071, 0.2, 0.123, 0.045]"
TOFU_grad_diff,base,Steering,separability_mean,Complex,0.21733333333333335,"[0.229, 0.097, 0.1, 0.012]"
TOFU_grad_diff,base,Steering,separability_std,Complex,0.09200000000000003,"[0.131, 0.147, 0.107, 0.055]"
TOFU_grad_diff,base,Steering,centrality_mean,U-shaped,0.20800000000000002,"[0.132, 0.237, 0.029, 0.04]"
TOFU_grad_diff,base,Steering,centrality_max,Inverted-U,0.12133333333333335,"[0.061, 0.141, 0.179, 0.057]"
