experiment,geometry,target,feature,pearson_r,pearson_p,spearman_r,spearman_p,significant,direction,n
HP,base,Unlearning,local_density_mean,0.10924733884939772,0.2792611653079656,0.15021654960957947,0.1357625943041409,False,+,100
HP,base,Unlearning,local_density_std,0.11173656987710355,0.2683857349790563,0.10947264968716239,0.2782648131204114,False,+,100
HP,base,Unlearning,local_density_max,0.13683378374676095,0.17461313216492327,0.176042993480026,0.0797725436759909,False,+,100
HP,base,Unlearning,local_density_min,0.0720103999210264,0.47647989928954093,0.06485850457378502,0.52145364846339,False,+,100
HP,base,Unlearning,separability_mean,-0.09557240895964801,0.3442119948112778,-0.16273105122979994,0.10573729198370245,False,-,100
HP,base,Unlearning,separability_std,-0.17126179331097016,0.08843756140846525,-0.11654328993987828,0.24820498057831125,False,-,100
HP,base,Unlearning,separability_max,-0.11031836629706643,0.274546222046767,-0.19862651212178328,0.04758244132076585,False,-,100
HP,base,Unlearning,separability_min,-0.03811549454620819,0.7065454044322029,-0.1067613515451435,0.29041301819670023,False,-,100
HP,base,Unlearning,centrality_mean,-0.14049943742518428,0.16324014845977594,-0.22296440014955277,0.025763348602497894,False,-,100
HP,base,Unlearning,centrality_std,-0.03238835859983166,0.7490475421321091,0.17157732595199487,0.08784360719460813,False,-,100
HP,base,Unlearning,centrality_max,-0.11548029308492343,0.25257526819108167,-0.007038742627515686,0.9445889796145268,False,-,100
HP,base,Unlearning,centrality_min,-0.04814300975956815,0.6343214029342347,-0.13586261826947948,0.17772159070238705,False,-,100
HP,base,Unlearning,isolation_mean,,,,,False,-,100
HP,base,Unlearning,isolation_std,,,,,False,-,100
HP,base,Unlearning,isolation_max,,,,,False,-,100
HP,base,Unlearning,isolation_min,,,,,False,-,100
HP,base,Unlearning,cluster_compactness_mean,,,,,False,-,100
HP,base,Unlearning,cluster_compactness_std,,,,,False,-,100
HP,base,Unlearning,cluster_compactness_max,,,,,False,-,100
HP,base,Unlearning,cluster_compactness_min,,,,,False,-,100
HP,base,Unlearning,cross_layer_consistency_mean,-0.05860891505891701,0.5624415465613495,-0.030954394002743076,0.7598136731784306,False,-,100
HP,base,Unlearning,cross_layer_consistency_std,-0.1202253770644857,0.23347082477257847,-0.12274352476431892,0.2237527323077424,False,-,100
HP,base,Unlearning,cross_layer_consistency_max,-0.05860891505891701,0.5624415465613495,-0.030954394002743076,0.7598136731784306,False,-,100
HP,base,Unlearning,cross_layer_consistency_min,-0.05860891505891701,0.5624415465613495,-0.030954394002743076,0.7598136731784306,False,-,100
HP,base,Steering,local_density_mean,-0.10417566658403003,0.302320994633494,-0.1920331318968856,0.0556147287110197,False,-,100
HP,base,Steering,local_density_std,-0.09942107249968296,0.32504078599482855,-0.15196351548215595,0.13121961675030364,False,-,100
HP,base,Steering,local_density_max,-0.12675361613963498,0.20887109707396015,-0.2247147407042269,0.02459374844421665,False,-,100
HP,base,Steering,local_density_min,-0.06920123298116734,0.49389130447998913,-0.0633074241934963,0.5314834747304917,False,-,100
HP,base,Steering,separability_mean,0.11711916802601827,0.24585926092927213,0.19943031715347562,0.04667245392095859,False,+,100
HP,base,Steering,separability_std,0.15409769437658175,0.12582827670256322,0.023026721847127028,0.820110909243729,False,+,100
HP,base,Steering,separability_max,0.12931725089743332,0.19973535688879723,0.20396407585912757,0.04180586707440266,False,+,100
